Tittle,Details,URL
Apparent Ultra-High b-Value Diffusion-Weighted Image Reconstruction via Hidden Conditional Random Fields,"Year: 2015 | Volume: 34, Issue: 5 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/6971171/
Filter-based coded-excitation system for high-speed ultrasonic imaging,"Year: 1998 | Volume: 17, Issue: 6 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/746625/
Distributed vector Processing of a new local MultiScale Fourier transform for medical imaging applications,"Year: 2005 | Volume: 24, Issue: 5 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/1425674/
IEE Colloquium on 'Medical Imaging: Image Processing and Analysis' (Digest No.051),Year: 1992 | Conference Paper | Publisher: IET,https://ieeexplore.ieee.org//document/167943/
Fast adaptive upscaling of low structured images using a hierarchical filling strategy,Year: 2002 | Conference Paper | Publisher: IEEE,https://ieeexplore.ieee.org//document/1026671/
"The X-Space Formulation of the Magnetic Particle Imaging Process: 1-D Signal, Resolution, Bandwidth, SNR, SAR, and Magnetostimulation","Year: 2010 | Volume: 29, Issue: 11 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/5482192/
Geometrical transformation-based ghost artifacts removing for high dynamic range image,Year: 2011 | Conference Paper | Publisher: IEEE,https://ieeexplore.ieee.org//document/6116490/
Real-Time Reconstruction of Sensitivity Encoded Radial Magnetic Resonance Imaging Using a Graphics Processing Unit,"Year: 2009 | Volume: 28, Issue: 12 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/5170053/
Moving window-based double haar wavelet transform for image processing,"Year: 2006 | Volume: 15, Issue: 9 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/1673457/
Orthogonal Rotation-Invariant Moments for Digital Image Processing,"Year: 2008 | Volume: 17, Issue: 3 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/4437502/
Uncluttered Single-Image Visualization of Vascular Structures Using GPU and Integer Programming,"Year: 2013 | Volume: 19, Issue: 1 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/6143935/
IEE Colloquium on 'Morphological and Nonlinear Image Processing Techniques' (Digest No.1993/145),Year: 1993 | Conference Paper | Publisher: IET,https://ieeexplore.ieee.org//document/243297/
Predicting CT Image From MRI Data Through Feature Matching With Learned Nonlinear Local Descriptors,"Year: 2018 | Volume: 37, Issue: 4 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/8249878/
Digital Image Processing in Remote Sensing,Year: 2009 | Conference Paper | Publisher: IEEE,https://ieeexplore.ieee.org//document/5395150/
Subjective and objective quality assessment for images with contrast change,Year: 2013 | Conference Paper | Publisher: IEEE,https://ieeexplore.ieee.org//document/6738079/
IEE Colloquium on 'Parallel Architectures for Image Processing' (Digest No.1994/135),Year: 1994 | Conference Paper | Publisher: IET,https://ieeexplore.ieee.org//document/369682/
Registering Preprocedure Volumetric Images With Intraprocedure 3-D Ultrasound Using an Ultrasound Imaging Model,"Year: 2010 | Volume: 29, Issue: 3 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/5423306/
Single image dehazing based on detail loss compensation and degradation,Year: 2011 | Volume: 2 | Conference Paper | Publisher: IEEE,https://ieeexplore.ieee.org//document/6100341/
A general framework for designing image processing algorithms for coherent polarimetric images,Year: 2003 | Volume: 3 | Conference Paper | Publisher: IEEE,https://ieeexplore.ieee.org//document/1247204/
Multiview Deblurring for 3-D Images from Light-Sheet-Based Fluorescence Microscopy,"Year: 2012 | Volume: 21, Issue: 4 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/6112225/
Joint Regularized-based Image Reconstruction by Combining Super-Resolution Sinogram for Computed Tomography Imaging,Year: 2020 | Conference Paper | Publisher: IEEE,https://ieeexplore.ieee.org//document/9273488/
Effective Five Directional Partial Derivatives-Based Image Smoothing and a Parallel Structure Design,"Year: 2016 | Volume: 25, Issue: 4 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/7401055/
Adaptive high-frequency clipping for improved image quality assessment,Year: 2013 | Conference Paper | Publisher: IEEE,https://ieeexplore.ieee.org//document/6706347/
Twister Segment Morphological Filtering. A New Method for Live Zebrafish Embryos Confocal Images Processing,Year: 2007 | Volume: 5 | Conference Paper | Publisher: IEEE,https://ieeexplore.ieee.org//document/4379813/
Image enhancement and denoising by complex diffusion processes,"Year: 2004 | Volume: 26, Issue: 8 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/1307009/
