Title,Current_Price,Original_Price,Exchange_Price,Ratings,Review_count,url
"Lloyd 7.2 kg Semi Automatic Top Load White, Blue","$11,300","$12,890", ,4.7,0 Reviews,https://www.flipkart.com//lloyd-7-2-kg-semi-automatic-top-load-white-blue/p/itm0de66758b4766?pid=WMNFEC4YRHZJ24VK&lid=LSTWMNFEC4YRHZJ24VK4OPZOC&marketplace=FLIPKART&srno=s_16_364&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNFEC4YRHZJ24VK.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
Haier 6 kg Fully Automatic Front Load with In-built Heater White,"$26,990","$31,170", ,4.4,17 Reviews,https://www.flipkart.com//haier-6-kg-fully-automatic-front-load-in-built-heater-white/p/itm50908e1e18e77?pid=WMNEUX3UANU9JYHE&lid=LSTWMNEUX3UANU9JYHEEFIXAN&marketplace=FLIPKART&srno=s_16_365&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNEUX3UANU9JYHE.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
Samsung 6.2 kg Fully Automatic Top Load Silver,"$17,590","$20,490", ,4.3,29 Reviews,https://www.flipkart.com//samsung-6-2-kg-fully-automatic-top-load-silver/p/itma09755f92a8bc?pid=WMNEWGGRDRK9GH4G&lid=LSTWMNEWGGRDRK9GH4GY9IFT4&marketplace=FLIPKART&srno=s_16_366&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNEWGGRDRK9GH4G.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
Godrej 7 kg Fully Automatic Front Load with In-built Heater White,"$30,000","$32,170", ,4.1,5 Reviews,https://www.flipkart.com//godrej-7-kg-fully-automatic-front-load-in-built-heater-white/p/itm6c1f48c36e991?pid=WMNEX4YPNMZCHFE8&lid=LSTWMNEX4YPNMZCHFE87VLQVI&marketplace=FLIPKART&srno=s_16_367&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNEX4YPNMZCHFE8.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
Whirlpool 9.5 kg Fully Automatic Top Load Grey,"$28,600","$32,473", ,4.4,37 Reviews,https://www.flipkart.com//whirlpool-9-5-kg-fully-automatic-top-load-grey/p/itm04321e8a2dc7d?pid=WMNFBRVYMGHHRHHD&lid=LSTWMNFBRVYMGHHRHHDCOCLIF&marketplace=FLIPKART&srno=s_16_368&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNFBRVYMGHHRHHD.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
"Avoir 8 kg Semi Automatic Top Load White, Blue","$9,290","$16,990","$2,200",4.1,12 Reviews,https://www.flipkart.com//avoir-8-kg-semi-automatic-top-load-white-blue/p/itm5afcaedcf8988?pid=WMNFDXHWCA9YUU3F&lid=LSTWMNFDXHWCA9YUU3FF1WP2X&marketplace=FLIPKART&srno=s_16_369&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNFDXHWCA9YUU3F.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
"MarQ by Flipkart 6.5 kg Semi Automatic Top Load White, Maroon","$11,290","$11,299","$2,200",4.3,"1,021 Reviews",https://www.flipkart.com//marq-flipkart-6-5-kg-semi-automatic-top-load-white-maroon/p/itm5e1c9fac31491?pid=WMNF9MFNDBTHNGUB&lid=LSTWMNF9MFNDBTHNGUBETEOJX&marketplace=FLIPKART&srno=s_16_370&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNF9MFNDBTHNGUB.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
"Whirlpool 7.5 kg 5 Star, Supersoak Technology Semi Automatic Top Load Purple","$10,579","$12,700", ,4.4,238 Reviews,https://www.flipkart.com//whirlpool-7-5-kg-5-star-supersoak-technology-semi-automatic-top-load-purple/p/itm061313585b992?pid=WMNETNHBYVK6BGZD&lid=LSTWMNETNHBYVK6BGZD8PUFRD&marketplace=FLIPKART&srno=s_16_371&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNETNHBYVK6BGZD.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
"Godrej 8.5 kg Semi Automatic Top Load White, Maroon","$11,490","$16,350", ,4.4,26 Reviews,https://www.flipkart.com//godrej-8-5-kg-semi-automatic-top-load-white-maroon/p/itmdee0fc60eaa39?pid=WMNFGGS87CURYJG3&lid=LSTWMNFGGS87CURYJG3QLYLRD&marketplace=FLIPKART&srno=s_16_372&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNFGGS87CURYJG3.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
Samsung 6.5 kg Fully Automatic Top Load Maroon,"$22,200","$24,000","$2,200",4.3,42 Reviews,https://www.flipkart.com//samsung-6-5-kg-fully-automatic-top-load-maroon/p/itmb9acd90e3192b?pid=WMNEWGGR2JZGVWUC&lid=LSTWMNEWGGR2JZGVWUCMM99Y5&marketplace=FLIPKART&srno=s_16_373&otracker=search&otracker1=search&fm=organic&iid=68a42ea7-7a36-4280-b8b6-3193f05dcefb.WMNEWGGR2JZGVWUC.SEARCH&ssid=971aewntq80000001610689335858&qH=b3522a5e7056c9c0
