Tittle,Details,URL
Interactive Hierarchical-Flow Segmentation of Scar Tissue From Late-Enhancement Cardiac MR Images,"Year: 2014 | Volume: 33, Issue: 1 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/6605543/
Biased Image Correction Based on Empirical Mode Decomposition,Year: 2007 | Volume: 1 | Conference Paper | Publisher: IEEE,https://ieeexplore.ieee.org//document/4379009/
elastix: A Toolbox for Intensity-Based Medical Image Registration,"Year: 2010 | Volume: 29, Issue: 1 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/5338015/
Computational Acceleration for MR Image Reconstruction in Partially Parallel Imaging,"Year: 2011 | Volume: 30, Issue: 5 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/5565482/
Image classification with adaptive processing of BSP image representation,Year: 2002 | Volume: 1 | Conference Paper | Publisher: IEEE,https://ieeexplore.ieee.org//document/1181208/
Image guidance of endovascular interventions on a clinical MR scanner,"Year: 1998 | Volume: 17, Issue: 5 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/736035/
Image segmentation using GMRF models: parameters estimation and applications,Year: 2003 | Volume: 2 | Conference Paper | Publisher: IEEE,https://ieeexplore.ieee.org//document/1246645/
Processing JPEG-compressed images and documents,"Year: 1998 | Volume: 7, Issue: 12 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/730378/
Segmenting skin lesions with partial-differential-equations-based image processing algorithms,"Year: 2000 | Volume: 19, Issue: 7 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/875204/
Three-dimensional surface reconstruction using optical flow for medical imaging,"Year: 1997 | Volume: 16, Issue: 5 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/640754/
Efficient multi-scale retinex algorithm using multi-rate image processing,Year: 2009 | Conference Paper | Publisher: IEEE,https://ieeexplore.ieee.org//document/5414428/
A Supervised Framework for the Registration and Segmentation of White Matter Fiber Tracts,"Year: 2011 | Volume: 30, Issue: 1 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/5549914/
Low-Dose CT Image Denoising Using a Generative Adversarial Network With Wasserstein Distance and Perceptual Loss,"Year: 2018 | Volume: 37, Issue: 6 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/8340157/
Reduced-Complexity Delayed-Decision Algorithm for Context-Based Image Processing Systems,"Year: 2007 | Volume: 16, Issue: 8 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/4271542/
Page segmentation and content classification for automatic document image processing,Year: 2001 | Conference Paper | Publisher: IEEE,https://ieeexplore.ieee.org//document/925388/
A multimodal registration algorithm of eye fundus images using vessels detection and Hough transform,"Year: 1999 | Volume: 18, Issue: 5 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/774169/
The application of multiwavelet filterbanks to image processing,"Year: 1999 | Volume: 8, Issue: 4 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/753742/
A fast reading and processing method of batch human CT image data,Year: 2009 | Volume: 1 | Conference Paper | Publisher: IEEE,https://ieeexplore.ieee.org//document/5270471/
Optical imaging of anatomical maps derived from magnetic resonance images using time-independent optical sources,"Year: 1997 | Volume: 16, Issue: 1 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/552056/
Virtual liver biopsy: image processing and 3D visualization,Year: 2001 | Volume: 2 | Conference Paper | Publisher: IEEE,https://ieeexplore.ieee.org//document/958495/
Adapted processing of catadioptric images using polarization imaging,Year: 2009 | Conference Paper | Publisher: IEEE,https://ieeexplore.ieee.org//document/5414488/
Time-Domain Optimized Near-Field Estimator for Ultrasound Imaging: Initial Development and Results,"Year: 2008 | Volume: 27, Issue: 1 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/4359041/
SpineParseNet: Spine Parsing for Volumetric MR Image by a Two-Stage Segmentation Framework With Semantic Image Representation,"Year: 2021 | Volume: 40, Issue: 1 | Journal Article | Publisher: IEEE",https://ieeexplore.ieee.org//document/9201093/
IEE Colloquium on 'Genetic Algorithms in Image Processing and Vision' (Digest No.1994/193),Year: 1994 | Conference Paper | Publisher: IET,https://ieeexplore.ieee.org//document/383634/
Design of a Vehicle Driver Drowsiness Detection System Through Image Processing using Matlab,Year: 2018 | Conference Paper | Publisher: IEEE,https://ieeexplore.ieee.org//document/8596513/
